place,state,jan_avg_temp,feb_avg_temp,mar_avg_temp,apr_avg_temp,may_avg_temp,jun_avg_temp,jul_avg_temp,aug_avg_temp,sep_avg_temp,oct_avg_temp,nov_avg_temp,dec_avg_temp,jan_avg_rain,feb_avg_rain,mar_avg_rain,apr_avg_rain,may_avg_rain,jun_avg_rain,jul_avg_rain,aug_avg_rain,sep_avg_rain,oct_avg_rain,nov_avg_rain,dec_avg_rain,winter_avg_temp,spring_avg_temp,summer_avg_temp,autumn_avg_temp,winter_avg_rain,spring_avg_rain,summer_avg_rain,autumn_avg_rain
Hawaii,HI,71.21,71.22,71.86,73.13,74.56,75.91,76.97,77.71,77.31,77.07,74.87,72.53,2.428,1.585,2.202,2.266,2.551,2.44,2.872,2.21,2.868,2.092,1.678,1.776,71.65333333333334,73.18333333333334,76.86333333333333,76.41666666666667,1.9296666666666666,2.3396666666666666,2.507333333333333,2.212666666666667
Jersey City,NJ,34.8,33.1,44.8,53.5,62.2,74.0,76.9,77.6,70.4,62.4,45.6,42.9,3.48,3.2,4.03,3.92,3.93,3.61,4.38,4.34,3.83,3.39,3.51,3.67,36.93333333333333,53.5,76.16666666666667,59.46666666666667,3.4500000000000006,3.9600000000000004,4.11,3.5766666666666667
Kauai,HI,78.0,78.0,78.0,79.0,81.0,83.0,84.0,85.0,85.0,83.0,81.0,79.0,3.7,3.2,4.6,2.2,2.0,1.6,1.8,2.1,2.1,3.8,4.4,5.2,78.33333333333333,79.33333333333333,84.0,83.0,4.033333333333334,2.9333333333333336,1.8333333333333333,3.4333333333333336
Las Vegas,NV,45.8,49.4,51.9,65.3,72.8,86.3,88.7,86.6,80.1,62.2,59.7,45.9,0.96,1.01,0.84,0.42,0.28,0.13,0.69,0.9,0.51,0.49,0.53,0.75,47.03333333333333,63.333333333333336,87.2,67.33333333333333,0.9066666666666666,0.5133333333333333,0.5733333333333334,0.51
Los Angeles,CA,51.4,53.1,52.0,61.1,65.2,74.6,79.0,77.0,73.3,62.1,61.5,48.8,3.29,3.42,2.81,1.12,0.32,0.06,0.03,0.07,0.21,0.51,1.29,2.43,51.099999999999994,59.43333333333334,76.86666666666666,65.63333333333334,3.046666666666667,1.4166666666666667,0.05333333333333334,0.6699999999999999
Maui,HI,73.0,73.0,74.0,76.0,77.5,79.0,80.5,81.0,80.5,79.5,77.0,74.5,3.9400000000000004,2.8600000000000003,3.1399999999999997,2.04,1.6800000000000002,1.04,1.1600000000000001,1.1400000000000001,1.04,1.58,3.4799999999999995,4.08,73.5,75.83333333333333,80.16666666666667,79.0,3.6266666666666665,2.2866666666666666,1.1133333333333335,2.033333333333333
Nashville,TN,40.9,36.7,54.9,57.2,65.0,75.8,79.2,78.9,70.5,64.9,46.2,51.2,4.65,4.18,5.18,4.21,4.45,3.93,3.83,3.56,3.21,2.83,3.83,4.54,42.93333333333334,59.03333333333333,77.96666666666667,60.53333333333334,4.456666666666667,4.613333333333333,3.7733333333333334,3.2900000000000005
New Orleans,LA,54.0,52.8,65.2,67.7,74.5,81.0,82.5,83.5,78.1,74.0,60.0,64.8,4.95,4.75,5.35,4.78,5.25,5.29,7.08,6.15,5.3,3.11,3.92,4.91,57.199999999999996,69.13333333333334,82.33333333333333,70.7,4.87,5.126666666666666,6.173333333333335,4.11
New York City,NY,35.04,33.42,44.64,53.24000000000001,62.02,73.64000000000001,76.63999999999999,77.58,70.64000000000001,62.779999999999994,46.14,43.32000000000001,3.464,3.186,4.022,3.85,3.8600000000000003,3.5479999999999996,4.303999999999999,4.3340000000000005,3.754,3.404,3.4840000000000004,3.646,37.260000000000005,53.300000000000004,75.95333333333333,59.85333333333333,3.432,3.9106666666666663,4.062,3.547333333333333
Newark,NJ,33.3,31.5,43.7,52.8,61.4,72.9,76.1,76.4,69.0,60.9,44.0,41.1,3.58,3.22,4.01,4.04,4.07,3.91,4.61,4.6,4.12,3.64,3.79,3.86,35.300000000000004,52.63333333333333,75.13333333333334,57.96666666666667,3.5533333333333332,4.04,4.373333333333333,3.85
Oahu,HI,73.0,73.0,74.5,76.0,78.0,80.0,81.0,82.0,81.5,80.0,77.5,74.5,2.31,1.99,2.02,0.63,0.62,0.26,0.51,0.56,0.7,1.84,2.42,3.24,73.5,76.16666666666667,81.0,79.66666666666667,2.5133333333333336,1.09,0.44333333333333336,1.6533333333333333
Oakland,CA,49.9,51.5,51.4,57.6,62.8,68.4,72.3,72.0,69.9,60.7,56.3,46.8,3.97,3.34,2.87,1.34,0.58,0.14,0.01,0.03,0.22,0.91,2.11,3.22,49.4,57.26666666666667,70.89999999999999,62.30000000000001,3.5100000000000002,1.5966666666666667,0.060000000000000005,1.08
Portland,OR,42.099999999999994,38.9,43.3,50.7,55.349999999999994,65.69999999999999,68.3,67.5,61.5,50.45,46.55,38.0,9.135000000000002,7.14,6.300000000000001,3.9800000000000004,2.885,2.085,0.745,0.97,2.395,4.76,9.03,9.530000000000001,39.666666666666664,49.78333333333333,67.16666666666667,52.833333333333336,8.601666666666668,4.388333333333334,1.2666666666666666,5.395
Rhode Island,RI,31.74,31.339999999999996,40.260000000000005,48.82000000000001,58.080000000000005,69.67999999999999,71.49999999999999,73.86,66.86,58.92,43.300000000000004,39.06,3.918,3.4200000000000004,4.192,4.07,3.406,3.282,3.16,4.087999999999999,3.556,3.464,4.104000000000001,4.148,34.04666666666666,49.05333333333334,71.67999999999999,56.36000000000001,3.8286666666666664,3.8893333333333335,3.51,3.708
Salem,OR,40.0,37.9,41.8,49.0,53.7,64.6,68.3,66.8,60.4,49.1,45.6,37.0,9.54,7.44,6.84,4.59,3.59,2.5,0.78,1.01,2.57,5.17,9.51,9.93,38.300000000000004,48.166666666666664,66.56666666666666,51.699999999999996,8.97,5.006666666666667,1.43,5.75
San Diego,CA,52.8,54.1,52.7,61.3,64.9,74.5,78.4,77.6,74.5,63.2,62.9,51.8,2.74,2.79,2.52,1.07,0.34,0.06,0.2,0.32,0.28,0.6,1.19,2.18,52.9,59.63333333333333,76.83333333333333,66.86666666666666,2.57,1.3099999999999998,0.19333333333333336,0.69
San Francisco,CA,51.7,53.2,52.4,54.8,58.3,61.2,61.7,63.7,63.3,59.7,57.0,49.1,5.27,4.44,3.48,1.54,0.68,0.2,0.01,0.07,0.25,1.2,2.89,4.29,51.333333333333336,55.166666666666664,62.20000000000001,60.0,4.666666666666667,1.8999999999999997,0.09333333333333334,1.4466666666666665
San Mateo,CA,51.1,51.8,50.9,54.6,57.4,62.1,63.5,65.1,64.3,59.6,57.1,48.8,6.2,5.25,4.33,1.92,0.79,0.21,0.02,0.06,0.26,1.34,3.16,5.11,50.56666666666666,54.300000000000004,63.56666666666666,60.333333333333336,5.5200000000000005,2.3466666666666667,0.09666666666666666,1.5866666666666667
Santa Clara,CA,49.0,49.8,49.6,56.4,61.3,68.2,72.3,72.1,69.5,60.3,56.7,46.5,4.84,4.2,3.71,1.66,0.66,0.14,0.01,0.05,0.24,1.03,2.47,4.11,48.43333333333334,55.76666666666667,70.86666666666666,62.166666666666664,4.383333333333333,2.0100000000000002,0.06666666666666667,1.2466666666666668
Santa Cruz,CA,51.2,51.6,50.6,54.7,58.8,64.2,66.2,67.2,66.2,60.2,57.9,48.7,7.19,6.25,5.03,2.19,0.82,0.21,0.02,0.05,0.28,1.42,3.57,6.0,50.5,54.70000000000001,65.86666666666667,61.43333333333334,6.48,2.68,0.09333333333333332,1.7566666666666666
Seattle,WA,38.2,34.7,40.2,47.1,50.8,61.7,64.3,63.1,56.9,46.9,42.7,33.7,10.3,7.82,7.23,5.19,3.97,3.29,1.52,1.79,3.7,6.68,10.51,10.77,35.53333333333334,46.03333333333334,63.03333333333333,48.833333333333336,9.63,5.463333333333334,2.2,6.963333333333334
Twin Cities,MN,20.714285714285715,10.457142857142856,39.1,45.885714285714286,58.15714285714285,74.14285714285714,73.45714285714287,72.05714285714285,64.0,54.15714285714285,35.614285714285714,22.785714285714285,0.8728571428571429,0.8485714285714285,1.5657142857142858,2.302857142857143,3.66,4.444285714285714,3.7985714285714285,3.777142857142857,3.238571428571429,2.0785714285714283,1.56,0.8828571428571428,17.985714285714284,47.714285714285715,73.21904761904763,51.257142857142846,0.868095238095238,2.5095238095238095,4.006666666666667,2.2923809523809524
Washington,DC,36.8,35.9,48.7,56.4,63.8,74.6,79.0,78.4,70.7,64.0,45.5,44.8,3.14,2.73,3.59,3.36,3.79,3.71,4.07,4.39,3.63,3.05,2.9,3.24,39.166666666666664,56.29999999999999,77.33333333333333,60.06666666666666,3.036666666666667,3.5799999999999996,4.056666666666667,3.1933333333333334
